filename,transcription
rec_006_033_FIL_004,wala naman
rec_006_034_FIL_001,ngayon
rec_006_034_FIL_002,kahapon
rec_006_034_FIL_003,nung isang araw
rec_006_034_FIL_004,nung isang linggo
rec_006_034_FIL_005,nakalimutan ko na
rec_006_034_FIL_006,hindi ko alam
rec_006_035_FIL_001,apat na araw
rec_006_035_FIL_002,tatlong araw
rec_006_035_FIL_003,dalawang araw
rec_006_035_FIL_004,isang araw
rec_006_035_FIL_005,hindi ko alam
rec_006_035_FIL_006,nakalimutan ko na
rec_006_036_FIL_001,dilaw
rec_006_036_FIL_002,berde
rec_006_036_FIL_003,walang kulay
rec_006_036_FIL_004,hindi ko alam
rec_006_036_FIL_005,nakalimutan ko na
rec_006_037_FIL_001,oo
rec_006_037_FIL_002,nilalagnat at inuubo
rec_006_037_FIL_003,nilalagnat lang
rec_006_037_FIL_004,inuubo lang
rec_006_037_FIL_005,hindi ko alam
rec_006_037_FIL_006,nakalimutan ko na
rec_006_038_FIL_001,umiinom ng maraming tubig
rec_006_038_FIL_002,kumakain ng prutas na may bitamin c
rec_006_038_FIL_003,umiinom ng bitamin c
rec_006_038_FIL_004,nagpapahinga
rec_006_038_FIL_005,natutulog
rec_006_038_FIL_006,hindi ko alam
rec_006_038_FIL_007,wala
rec_006_038_FIL_008,hinahayaan ko lang
rec_006_039_FIL_001,wala
rec_006_039_FIL_002,meron
rec_006_039_FIL_003,nakalimutan ko na
rec_006_040_FIL_001,cetirizine
rec_006_040_FIL_002,ascep syrup
rec_006_040_FIL_003,disudrin
rec_006_041_FIL_001,ngayon lang
rec_006_041_FIL_002,kahapon
rec_006_041_FIL_003,nung isang araw
rec_006_041_FIL_004,nung isang linggo
rec_006_041_FIL_005,isang taon pa
rec_006_041_FIL_006,wala
rec_006_041_FIL_007,hindi ko alam
rec_006_042_FIL_001,hindi po
rec_006_042_FIL_002,wala po
rec_006_042_FIL_003,madalas po
rec_006_042_FIL_004,minsan po
rec_006_043_FIL_001,umiinom ng maraming tubig
rec_006_043_FIL_002,kumakain ng prutas na may bitamin c
rec_006_043_FIL_003,umiinom ng bitamin c
rec_006_043_FIL_004,pahinga
rec_006_043_FIL_005,natutulog
rec_006_043_FIL_006,hindi ko alam
rec_006_043_FIL_007,wala
rec_006_043_FIL_008,hinahayaan ko lang
rec_006_044_FIL_001,cetirizine
rec_006_044_FIL_002,ascep syrup
rec_006_044_FIL_003,disudrin
rec_006_045_FIL_001,oo
rec_006_045_FIL_002,wala
rec_006_045_FIL_003,hindi ko alam
rec_006_046_FIL_001,ngayon lang
rec_006_046_FIL_002,kahapon
rec_006_046_FIL_003,nung isang araw
rec_006_046_FIL_004,nung isang linggo
rec_006_046_FIL_005,hindi ko alam
rec_006_046_FIL_006,nakalimutan ko na
rec_006_047_FIL_001,apat na araw
rec_006_047_FIL_002,tatlong araw
rec_006_047_FIL_003,dalawang araw
rec_006_047_FIL_004,isang araw
rec_006_047_FIL_005,hindi ko alam
rec_006_047_FIL_006,nakalimutan ko na
rec_006_048_FIL_001,oo
rec_006_048_FIL_002,hindi
rec_006_048_FIL_003,hindi ko alam
rec_006_048_FIL_004,minsan
rec_006_049_FIL_001,mainit na pakiramdam
rec_006_049_FIL_002,malamig na pakiramdam
rec_006_049_FIL_003,combulsion
rec_006_049_FIL_004,panginginig
rec_006_049_FIL_005,pananakit ng ulo
rec_006_049_FIL_006,pananakit ng katawan
rec_006_049_FIL_007,nasusuka at pagsusuka
rec_006_049_FIL_008,pagkapagod
rec_006_049_FIL_009,pananakit ng tiyan
rec_006_049_FIL_010,wala sa nabanggit
rec_006_050_FIL_001,thirty six point five celsius
rec_006_050_FIL_002,thirty seven point five celsius
rec_006_050_FIL_003,thirty seven point eight celsius
rec_006_050_FIL_004,thirty seven point nine celsius
rec_006_050_FIL_005,thirty eight celsius
rec_006_050_FIL_006,lampas sa thirty eight celsius
rec_006_051_FIL_001,meron
rec_006_051_FIL_002,wala
rec_006_051_FIL_003,may ubo
rec_006_051_FIL_004,may sipon
rec_006_051_FIL_005,may ubo at sipon
rec_006_051_FIL_006,hindi ko alam
rec_006_052_FIL_001,umiinom ng maraming tubig
rec_006_052_FIL_002,nagpupunas ng malamig na bimbo
rec_006_052_FIL_003,kumakain ng prutas na mataas sa vitamin c
rec_006_052_FIL_004,nagpapahinga
rec_006_052_FIL_005,natutulog
rec_006_052_FIL_006,naglalagay ng cool fever
rec_006_052_FIL_007,wala
rec_006_052_FIL_008,pinapabayaan ko lang
rec_006_053_FIL_001,oo
rec_006_053_FIL_002,hindi
rec_006_053_FIL_003,hindi ko alam
rec_006_053_FIL_004,nakalimutan ko na
rec_006_054_FIL_001,hindi ko alam
rec_006_054_FIL_002,biogesic
rec_006_054_FIL_003,paracetamol
rec_006_054_FIL_004,tempra
rec_006_054_FIL_005,calpol
rec_006_055_FIL_001,kahapon
rec_006_055_FIL_002,nung isang araw
rec_006_055_FIL_003,nung isang linggo
rec_006_055_FIL_004,nung isang buwan
rec_006_055_FIL_005,nung isang taon
rec_006_056_FIL_001,oo
rec_006_056_FIL_002,hindi
rec_006_056_FIL_003,minsan lang
rec_006_056_FIL_004,hindi ko alam
rec_006_056_FIL_005,nakalimutan ko na
rec_006_057_FIL_001,umiinom ng maraming tubig
rec_006_057_FIL_002,nagpupunas ng malamig na bimbo
rec_006_057_FIL_003,kumakain ng prutas na mataas sa vitamin c
rec_006_057_FIL_004,nagpapahinga
rec_006_057_FIL_005,natutulog
rec_006_057_FIL_006,naglalagay ng cool fever
rec_006_057_FIL_007,wala
rec_006_057_FIL_008,pinapabayaan ko lang
rec_006_058_FIL_001,biogesic
rec_006_058_FIL_002,paracetamol
rec_006_058_FIL_003,hindi ko alam
rec_006_058_FIL_004,nakalimutan ko na
rec_006_058_FIL_005,calpol
rec_006_058_FIL_006,tempra
rec_006_059_FIL_001,oo
rec_006_059_FIL_002,wala
rec_006_059_FIL_003,hindi ko alam
rec_006_059_FIL_004,meron ata
rec_006_060_FIL_001,ama
rec_006_060_FIL_002,ina
rec_006_060_FIL_003,ama at ina
rec_006_060_FIL_004,hindi ko alam
rec_006_061_FIL_001,oo
rec_006_061_FIL_002,wala
rec_006_061_FIL_003,hindi ko alam
rec_006_061_FIL_004,meron ata
rec_006_062_FIL_001,ama
rec_006_062_FIL_002,ina
rec_006_062_FIL_003,ama at ina
rec_006_062_FIL_004,hindi ko alam
rec_006_063_FIL_001,oo
rec_006_063_FIL_002,wala
rec_006_063_FIL_003,hindi ko alam
rec_006_063_FIL_004,meron ata
rec_006_064_FIL_001,ama
rec_006_064_FIL_002,ina
rec_006_064_FIL_003,ama at ina
rec_006_064_FIL_004,hindi ko alam
rec_006_065_FIL_001,oo
rec_006_065_FIL_002,wala
rec_006_065_FIL_003,hindi ko alam
rec_006_065_FIL_004,meron ata
rec_006_066_FIL_001,ama
rec_006_066_FIL_002,ina
rec_006_066_FIL_003,ama at ina
rec_006_066_FIL_004,hindi ko alam
rec_006_067_FIL_001,oo
rec_006_067_FIL_002,wala
rec_006_067_FIL_003,hindi ko alam
rec_006_067_FIL_004,meron ata
rec_006_068_FIL_001,ama
rec_006_068_FIL_002,ina
rec_006_068_FIL_003,ama at ina
rec_006_068_FIL_004,hindi ko alam
rec_006_069_FIL_001,opo
rec_006_069_FIL_002,hindi ko alam
rec_006_069_FIL_003,hindi ko matandaan
rec_006_070_FIL_001,soryasis
rec_006_070_FIL_002,skin asthma
rec_006_070_FIL_003,dermatitis
rec_006_070_FIL_004,wala
rec_006_070_FIL_005,hindi ko alam
rec_006_071_FIL_001,ngayon lang
rec_006_071_FIL_002,kahapon
rec_006_071_FIL_003,nung isang araw
rec_006_071_FIL_004,nung isang linggo
rec_006_071_FIL_005,nakaraang buwan
rec_006_071_FIL_006,nakaraang taon
rec_006_071_FIL_007,sanggol pa lang ako
rec_006_071_FIL_008,nung maliit pa lang ako
rec_006_072_FIL_001,ilang araw na
rec_006_072_FIL_002,ilang linggo na
rec_006_072_FIL_003,ilang buwan na
rec_006_072_FIL_004,hindi ko alam
rec_006_072_FIL_005,nakalimutan ko na
rec_006_073_FIL_001,ulo
rec_006_073_FIL_002,leeg
rec_006_073_FIL_003,katawan
rec_006_073_FIL_004,katawan likod
rec_006_073_FIL_005,braso kaliwa
rec_006_073_FIL_006,braso kanan
rec_006_073_FIL_007,parehong braso
rec_006_073_FIL_008,kaliwang kamay
rec_006_073_FIL_009,kanang kamay
rec_006_073_FIL_010,parehong kamay
rec_006_073_FIL_011,kaliwang binti
rec_006_073_FIL_012,kanang binti
rec_006_073_FIL_013,parehong binti
rec_006_073_FIL_014,kaliwang legs
rec_006_073_FIL_015,kanang legs
rec_006_073_FIL_016,parehong legs
rec_006_073_FIL_017,kaliwang paa
rec_006_073_FIL_018,kanang paa
rec_006_073_FIL_019,buong katawan
rec_006_074_FIL_001,maalikabok
rec_006_074_FIL_002,pag naiinitan
rec_006_074_FIL_003,hindi ko alam
rec_006_074_FIL_004,nakalimutan ko na
rec_006_075_FIL_001,naglalagay ng gamot
rec_006_075_FIL_002,naglalagay ng ointment
rec_006_075_FIL_003,naglalagay ng lotion
rec_006_075_FIL_004,naglalagay ng yelo
rec_006_075_FIL_005,naliligo po
rec_006_075_FIL_006,hindi ko alam
rec_006_076_FIL_001,meron
rec_006_076_FIL_002,wala
rec_006_076_FIL_003,hindi ko alam
rec_006_076_FIL_004,nakalimutan ko na
rec_006_077_FIL_001,ointment
rec_006_077_FIL_002,hindi ko alam
rec_006_077_FIL_003,nakalimutan ko na
rec_006_078_FIL_001,pagpapantal
rec_006_078_FIL_002,galos
rec_006_078_FIL_003,sugat na nagdurugo
rec_006_078_FIL_004,panunyo ng balat
rec_006_078_FIL_005,iritasyon ng balat
rec_006_078_FIL_006,paso
rec_006_078_FIL_007,discolorasyon ng balat
rec_006_078_FIL_008,walang problema sa balat
rec_006_078_FIL_009,hindi ko alam
rec_006_079_FIL_001,kanina lang
rec_006_079_FIL_002,kahapon
rec_006_079_FIL_003,nung isang araw
rec_006_079_FIL_004,nung isang linggo
rec_006_079_FIL_005,nung isang buwan
rec_006_079_FIL_006,nakaraang taon
rec_006_079_FIL_007,ngayon lang
rec_006_080_FIL_001,ilang oras
rec_006_080_FIL_002,isang araw
rec_006_080_FIL_003,dalawang araw
rec_006_080_FIL_004,ilang araw
rec_006_080_FIL_005,ilang linggo
rec_006_080_FIL_006,hindi ko na alam
rec_006_081_FIL_001,hindi naman po
rec_006_081_FIL_002,oo
rec_006_081_FIL_003,minsan
rec_006_082_FIL_001,ulo
rec_006_082_FIL_002,leeg
rec_006_082_FIL_003,katawan harap
rec_006_082_FIL_004,katawan likod
rec_006_082_FIL_005,braso kaliwa
rec_006_082_FIL_006,braso kanan
rec_006_082_FIL_007,parehong braso
rec_006_082_FIL_008,kaliwang kamay
rec_006_082_FIL_009,kanang kamay
rec_006_082_FIL_010,parehong kamay
rec_006_082_FIL_011,kaliwang binti
rec_006_082_FIL_012,kanang binti
rec_006_082_FIL_013,parehong binti
rec_006_082_FIL_014,kaliwang legs
rec_006_082_FIL_015,kanang legs
rec_006_082_FIL_016,parehong legs
rec_006_082_FIL_017,kaliwang paa
rec_006_082_FIL_018,kanang paa
rec_006_082_FIL_019,buong katawan
rec_006_083_FIL_001,nadapa ako
rec_006_083_FIL_002,kinagat ng lamok
rec_006_083_FIL_003,hindi ko nalalagyan ng lotion
rec_006_083_FIL_004,nahulog sa bike
rec_006_083_FIL_005,nadapa sa hagdan
rec_006_083_FIL_006,hindi ko alam
rec_006_083_FIL_007,nakalimutan ko na
rec_006_083_FIL_008,sugat sa paglalaro
rec_006_084_FIL_001,naliligo
rec_006_084_FIL_002,nagkakamot
rec_006_084_FIL_003,wala
rec_006_084_FIL_004,pinapabayaan ko lang
rec_006_085_FIL_001,naglalagay ng betadine
rec_006_085_FIL_002,wala
rec_006_085_FIL_003,hindi ko alam
rec_006_086_FIL_001,kalat kalat
rec_006_086_FIL_002,maliliit na bilog
rec_006_086_FIL_003,malalaking bilog
rec_006_086_FIL_004,may nana
rec_006_086_FIL_005,may paltos
rec_006_086_FIL_006,hindi ko alam
rec_006_086_FIL_007,nakalimutan ko na
rec_006_086_FIL_008,hindi ko makita
rec_006_087_FIL_001,ulo
rec_006_087_FIL_002,leeg
rec_006_087_FIL_003,katawan harap
rec_006_087_FIL_004,katawan likod
rec_006_087_FIL_005,braso kaliwa
rec_006_087_FIL_006,braso kanan
rec_006_087_FIL_007,parehong braso
rec_006_087_FIL_008,kaliwang kamay
rec_006_087_FIL_009,kanang kamay
rec_006_087_FIL_010,parehong kamay
rec_006_087_FIL_011,kaliwang binti
rec_006_087_FIL_012,kanang binti
rec_006_087_FIL_013,parehong binti
rec_006_087_FIL_014,kaliwang legs
rec_006_087_FIL_015,kanang legs
rec_006_087_FIL_016,parehong legs
rec_006_087_FIL_017,kaliwang paa
rec_006_087_FIL_018,kanang paa
rec_006_087_FIL_019,buong katawan
rec_006_088_FIL_001,hindi
rec_006_088_FIL_002,oo
rec_006_088_FIL_003,opo
rec_006_088_FIL_004,minsan
rec_006_089_FIL_001,hindi
rec_006_089_FIL_002,oo
rec_006_089_FIL_003,opo
rec_006_089_FIL_004,minsan
rec_006_090_FIL_001,isa
rec_006_090_FIL_002,dalawa
rec_006_090_FIL_003,tatlo
rec_006_090_FIL_004,apat
rec_006_090_FIL_005,lima
rec_006_090_FIL_006,anim
rec_006_090_FIL_007,pito
rec_006_090_FIL_008,walo
rec_006_090_FIL_009,siyam
rec_006_090_FIL_010,sampu
rec_006_090_FIL_011,hindi ko alam
rec_006_090_FIL_012,hindi masakit
rec_006_091_FIL_001,wala
rec_006_091_FIL_002,maliit lang
rec_006_091_FIL_003,mas maliit sa piso
rec_006_091_FIL_004,kasing laki ng piso
rec_006_091_FIL_005,malaki
rec_006_091_FIL_006,mahaba
rec_006_091_FIL_008,hindi ko alam
rec_006_091_FIL_009,magaling na
rec_006_092_FIL_001,wala
rec_006_092_FIL_002,isa
rec_006_092_FIL_003,dalawa
rec_006_092_FIL_004,tatlo
rec_006_092_FIL_005,apat
rec_006_092_FIL_006,hindi ko alam
rec_006_092_FIL_007,hindi ko mabilang
rec_006_093_FIL_001,wala
rec_006_093_FIL_002,isa
rec_006_093_FIL_003,dalawa
rec_006_093_FIL_004,tatlo
rec_006_093_FIL_005,hindi ko mabilang
rec_006_093_FIL_006,hindi ko makita
rec_006_094_FIL_001,mabilis lang
rec_006_094_FIL_002,saglit lang
rec_006_094_FIL_003,ilang segundo lang
rec_006_094_FIL_004,tatlong segundo
rec_006_094_FIL_005,hindi ko alam
rec_006_094_FIL_006,tumigil naman kagad
rec_006_095_FIL_001,mahaba
rec_006_095_FIL_002,maliit lang
rec_006_095_FIL_003,mas malaki sa piso
rec_006_095_FIL_004,hindi ko alam
rec_006_096_FIL_001,hindi
rec_006_096_FIL_002,hindi naman masyado
rec_006_096_FIL_003,oo
rec_006_097_FIL_001,wala
rec_006_097_FIL_002,isa
rec_006_097_FIL_003,dalawa
rec_006_097_FIL_004,tatlo
rec_006_097_FIL_005,apat
rec_006_097_FIL_006,lima
rec_006_097_FIL_007,anim
rec_006_097_FIL_008,pito
rec_006_097_FIL_009,walo
rec_006_097_FIL_010,siyam
rec_006_097_FIL_011,sampu
rec_006_097_FIL_012,hindi ko alam
rec_006_098_FIL_001,namumula
rec_006_098_FIL_002,hindi gaano kalalim
rec_006_098_FIL_003,kita na yung loob ng balat
rec_006_098_FIL_004,kita na yung puti puti ng balat
rec_006_098_FIL_005,kita na yung buto buto
rec_006_098_FIL_006,paltos lamang
rec_006_099_FIL_001,it lamang
rec_006_099_FIL_002,mas maliit sa piso
rec_006_099_FIL_003,mas malaki sa piso
rec_006_099_FIL_004,isang buong kamay
rec_006_099_FIL_005,parehong kamay
rec_006_099_FIL_006,isang paa
rec_006_099_FIL_007,parehong paa
rec_006_099_FIL_008,kalahati ng likod
rec_006_099_FIL_009,buong likod
rec_006_099_FIL_010,kalahati ng dibdib
rec_006_099_FIL_011,buong dibdib
rec_006_099_FIL_012,buong mukha
rec_006_099_FIL_013,buong ulo
rec_006_099_FIL_014,buong katawan
rec_006_099_FIL_015,kalahating hita
rec_006_099_FIL_016,buong hita
rec_006_099_FIL_017,parehong hita
rec_006_100_FIL_001,oo
rec_006_100_FIL_002,mahapdi
rec_006_100_FIL_003,hindi gaano
rec_006_100_FIL_004,hindi ko alam
rec_006_101_FIL_001,hindi masakit
rec_006_101_FIL_002,isa
rec_006_101_FIL_003,dalawa
rec_006_101_FIL_004,tatlo
rec_006_101_FIL_005,apat
rec_006_101_FIL_006,lima
rec_006_101_FIL_007,anim
rec_006_101_FIL_008,pito
rec_006_101_FIL_009,walo
rec_006_101_FIL_010,siyam
rec_006_101_FIL_011,sampu
rec_006_101_FIL_012,hindi ko alam
rec_006_102_FIL_001,hindi ko alam
rec_006_102_FIL_002,hindi ko alam anong tawag
rec_006_102_FIL_003,meron parang butlig
rec_006_102_FIL_004,nakalimutan ko na
rec_006_103_FIL_001,nadapa
rec_006_103_FIL_002,nauntog
rec_006_103_FIL_003,matagal na
rec_006_103_FIL_004,hindi
rec_006_103_FIL_005,oo
rec_006_103_FIL_006,matagal na
rec_006_103_FIL_007,nung sanggol pa lang ako
rec_006_103_FIL_008,hindi ko alam
rec_006_103_FIL_009,nakalimutan ko na
rec_006_104_FIL_001,hindi ko alam
rec_006_104_FIL_002,nakalimutan ko na
rec_006_104_FIL_003,isa
rec_006_104_FIL_004,dalawa
rec_006_104_FIL_005,tatlong beses
rec_006_105_FIL_001,kanina lang
rec_006_105_FIL_002,kahapon lang
rec_006_105_FIL_003,nung isang araw lang
rec_006_105_FIL_004,nung isang linggo
rec_006_105_FIL_005,nung isang buwan
rec_006_105_FIL_006,nakaraang taon
rec_006_105_FIL_007,hindi ko alam
rec_006_105_FIL_008,nakalimutan ko na
rec_006_105_FIL_009,nung sanggol pa lang ako
rec_006_106_FIL_001,itaas
rec_006_106_FIL_002,likod
rec_006_106_FIL_003,gilid
rec_006_106_FIL_004,hindi ko alam
rec_006_106_FIL_005,nakalimutan ko na
rec_006_107_FIL_001,kisame
rec_006_107_FIL_002,sa pinto
rec_006_107_FIL_003,sa cabinet
rec_006_107_FIL_004,sa hagdan
rec_006_107_FIL_005,sa pader
rec_006_108_FIL_001,hindi naman dumugo
rec_006_108_FIL_002,wala po
rec_006_108_FIL_003,opo maliit lang
rec_006_109_FIL_001,pagkawala ng malay
rec_006_109_FIL_002,pagkahilo
rec_006_109_FIL_003,panlalabo ng paningin
rec_006_109_FIL_004,nasusuka at pagsusuka
rec_006_110_FIL_001,hindi po
rec_006_110_FIL_002,opo
rec_006_110_FIL_003,oo
rec_006_110_FIL_004,hindi ko alam
rec_006_110_FIL_005,nakalimutan ko na
rec_006_111_FIL_001,tinahi yung sugat
rec_006_111_FIL_002,check up lamang
rec_006_111_FIL_003,inobserbahan
rec_006_111_FIL_004,naadmit
rec_006_111_FIL_005,nilinis lang ung sugat
rec_006_111_FIL_006,wala
rec_006_111_FIL_007,hindi ko alam
rec_006_111_FIL_008,nakalimutan ko na
rec_006_111_FIL_009,sanggol pa lang ako nun
rec_006_112_FIL_001,hindi masakit
rec_006_112_FIL_002,isa
rec_006_112_FIL_003,dalawa
rec_006_112_FIL_004,tatlo
rec_006_112_FIL_005,apat
rec_006_112_FIL_006,lima
rec_006_112_FIL_007,anim
rec_006_112_FIL_008,pito
rec_006_112_FIL_009,walo
rec_006_112_FIL_010,siyam
rec_006_112_FIL_011,sampu
rec_006_113_FIL_001,wala
rec_006_113_FIL_002,pinabayaan ko lang
rec_006_113_FIL_003,umiinom ng tubig
rec_006_114_FIL_001,wala
rec_006_114_FIL_002,hindi ko alam
rec_006_114_FIL_003,nakalimutan ko na
rec_006_115_FIL_001,minsan pag naiinitan
rec_006_115_FIL_002,sa gabi
rec_006_115_FIL_003,pag matagal mag gadget
rec_006_115_FIL_004,headphones mabigat sa ulo
rec_006_115_FIL_005,habang nanunood ng tv
rec_006_115_FIL_006,hindi ko alam
rec_006_116_FIL_001,hindi po
rec_006_116_FIL_002,minsan
rec_006_116_FIL_003,hindi masakit
rec_006_116_FIL_004,isa
rec_006_116_FIL_005,dalawa
rec_006_116_FIL_006,tatlo
rec_006_116_FIL_007,apat
rec_006_116_FIL_008,lima
rec_006_116_FIL_009,anim
rec_006_116_FIL_010,pito
rec_006_116_FIL_011,walo
